"product_name","unit_price","total_price","size_amount","unit_name","store_id","image_url","merchant_productid","brand_name"
"Seasoned Stuffing Bread 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/c80a8c25-d3af-4175-bc4b-f5d4b266bd9f/300x300.jpg","aea973f2-1bc2-4046-ac4e-fadaf7ba8e08","None"
"Island City Baking Peace Vegan Breads Olive Sourdough 650 g",NULL,"$6.99",650.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/f96b0a74-7fdb-4352-9124-37cc664073fd/300x300.jpg","09105753-3fc1-4790-b7d4-d7a900d55ce9","None"
"Island City Bakery Vegan Bread Everyday Traditional Sourdough 650 g",NULL,"$5.29",650.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/601e70d5-19f7-4495-983b-f6bb68b26bf9/300x300.jpg","c918b21a-6536-4b72-95fc-38d7852642ae","None"
"Dutch Crunch Bread 600 g",NULL,"$4.59",600.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/a13ecdcf-c759-4f4c-bfe4-3f0034c2c048/300x300.jpg","d941779c-7026-47ad-b6a0-981b67a9f9d8","None"
"White Sandwich Bread 570 g",NULL,"$4.49",570.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/8c321cf4-f4cd-4834-9b14-7dc37a57d93c/300x300.jpg","65c6dbbf-666e-465f-8eda-fc11aae2e8df","None"
"Butter Crust Bread 600 g",NULL,"$4.59",600.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/27f493a4-d3fb-4e73-b7e5-95de96f5c0a1/300x300.jpg","f95fabcb-a09d-4d48-9507-6f362cd9c30e","None"
"Portofino Loaf Roasted Garlic and Cracked Pepper 585 g",NULL,"$6.99",585.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/eb4f7078-fe1e-4be2-b3bc-a283f85c639b/300x300.jpg","a5dd5ab1-5df8-48a4-8c0e-e9ed0677e5e6","Portofino"
"City Bread Irish Bread 450 g",NULL,"$2.99",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/1b488a6b-0fee-455b-9be7-fe9ba7db85bd/300x300.jpg","bcc465e4-5cd6-449b-9fb2-efff3a65a94a","City Bread"
"Italia Bread Soft 450 g",NULL,"$4.49",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/8f4fb435-bdd8-42fe-bd0e-dbf9afec74f4/300x300.jpg","01ed896d-dfab-4d26-8551-5170fa6b5926","None"
"Dutch Bread Crunch Style 600 g",NULL,"$4.59",600.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/a4438380-ea0d-4f07-9ea3-19fa189a8892/300x300.jpg","59ecdab0-615e-499a-8342-92a1de8dd1f8","None"
"Butter Crust Bread Loaf 600 g",NULL,"$4.59",600.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/616444cb-c61e-461c-95d0-080971eb51c5/300x300.jpg","b5f06734-b260-4b8f-bcdb-59d85b27fb00","None"
"Terra Bread Rosemary & Olive 450 g",NULL,"$7.99",450.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/c0a73d35-b384-4ecd-ae43-1ab5ee914301/300x300.jpg","ebf78444-7278-44f2-951a-f2754074723b","Terra"
"Portofino Vancouver Island Harvest Bread Loaf 675 g",NULL,"$6.99",810.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/254ab60d-6990-466d-bb9d-537d9e9ec49d/300x300.jpg","1031d19a-967a-4a72-b615-1947e9c2e03b","Portofino"
"Monte Cristo Bakery 100% Butter Stollen 500 g (frozen)",NULL,"$15.99",500.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/cf6850c0-0e1b-4888-b807-5fd4d8e582d4/300x300.jpg","00ebdcbf-f92d-4859-9917-6cf827538666","Monte Cristo Bakery"
"Terra  French Baguette 300 g",NULL,"$4.99",300.0,"g",16,"https://voila.ca/images-v3/2d92d19c-0354-49c0-8a91-5260ed0bf531/27bad475-26df-4c3e-baff-cd479947a18e/300x300.jpg","c22871e6-7965-4036-9163-0493ba97029a","Terra"
